Region/Country/Area,Area,Year,Series,Value
18,Southern Africa,2010,Percentage of individuals using the internet,22
18,Southern Africa,2015,Percentage of individuals using the internet,49.1
18,Southern Africa,2019,Percentage of individuals using the internet,67.4
18,Southern Africa,2020,Percentage of individuals using the internet,68.5
18,Southern Africa,2021,Percentage of individuals using the internet,70.6
11,Western Africa,2000,Percentage of individuals using the internet,0.1
11,Western Africa,2005,Percentage of individuals using the internet,2.5
11,Western Africa,2010,Percentage of individuals using the internet,7.7
11,Western Africa,2015,Percentage of individuals using the internet,18.9
11,Western Africa,2019,Percentage of individuals using the internet,36.3
11,Western Africa,2020,Percentage of individuals using the internet,42.9
11,Western Africa,2021,Percentage of individuals using the internet,48
21,Northern America,2000,Percentage of individuals using the internet,51.3
21,Northern America,2005,Percentage of individuals using the internet,68.3
21,Northern America,2010,Percentage of individuals using the internet,72.5
21,Northern America,2015,Percentage of individuals using the internet,76.1
21,Northern America,2019,Percentage of individuals using the internet,89.7
21,Northern America,2020,Percentage of individuals using the internet,90.8
21,Northern America,2021,Percentage of individuals using the internet,91.9
419,Latin America & the Caribbean,2000,Percentage of individuals using the internet,5.2
419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6
419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.7
419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.3
419,Latin America & the Caribbean,2019,Percentage of individuals using the internet,67.9
419,Latin America & the Caribbean,2020,Percentage of individuals using the internet,73
419,Latin America & the Caribbean,2021,Percentage of individuals using the internet,74.8
29,Caribbean,2000,Percentage of individuals using the internet,3.5
29,Caribbean,2005,Percentage of individuals using the internet,11
29,Caribbean,2010,Percentage of individuals using the internet,21.2
29,Caribbean,2015,Percentage of individuals using the internet,38
29,Caribbean,2019,Percentage of individuals using the internet,62.2
29,Caribbean,2020,Percentage of individuals using the internet,65.6
29,Caribbean,2021,Percentage of individuals using the internet,67.1
143,Central Asia,2000,Percentage of individuals using the internet,1
143,Central Asia,2005,Percentage of individuals using the internet,3.3
143,Central Asia,2010,Percentage of individuals using the internet,18.4
143,Central Asia,2015,Percentage of individuals using the internet,43.7
143,Central Asia,2019,Percentage of individuals using the internet,62.7
143,Central Asia,2020,Percentage of individuals using the internet,64.7
143,Central Asia,2021,Percentage of individuals using the internet,66.5
30,Eastern Asia,2000,Percentage of individuals using the internet,5.7
30,Eastern Asia,2005,Percentage of individuals using the internet,16.2
30,Eastern Asia,2010,Percentage of individuals using the internet,39.5
30,Eastern Asia,2015,Percentage of individuals using the internet,54.5
30,Eastern Asia,2019,Percentage of individuals using the internet,67.4
30,Eastern Asia,2020,Percentage of individuals using the internet,72.4
30,Eastern Asia,2021,Percentage of individuals using the internet,75.2
62,South-central Asia,2000,Percentage of individuals using the internet,0.6
62,South-central Asia,2005,Percentage of individuals using the internet,2.8
62,South-central Asia,2010,Percentage of individuals using the internet,7.9
62,South-central Asia,2015,Percentage of individuals using the internet,16.5
62,South-central Asia,2019,Percentage of individuals using the internet,32.4
62,South-central Asia,2020,Percentage of individuals using the internet,43
62,South-central Asia,2021,Percentage of individuals using the internet,46
35,South-eastern Asia,2000,Percentage of individuals using the internet,2.6
35,South-eastern Asia,2005,Percentage of individuals using the internet,8.7
35,South-eastern Asia,2010,Percentage of individuals using the internet,18.9
35,South-eastern Asia,2015,Percentage of individuals using the internet,31.6
35,South-eastern Asia,2019,Percentage of individuals using the internet,52.9
35,South-eastern Asia,2020,Percentage of individuals using the internet,58.7
35,South-eastern Asia,2021,Percentage of individuals using the internet,65.2
34,Southern Asia,2000,Percentage of individuals using the internet,0.6
34,Southern Asia,2005,Percentage of individuals using the internet,2.8
34,Southern Asia,2010,Percentage of individuals using the internet,7.5
34,Southern Asia,2015,Percentage of individuals using the internet,15.5
34,Southern Asia,2019,Percentage of individuals using the internet,31.3
34,Southern Asia,2020,Percentage of individuals using the internet,42.2
34,Southern Asia,2021,Percentage of individuals using the internet,45.2
145,Western Asia,2000,Percentage of individuals using the internet,3.5
145,Western Asia,2005,Percentage of individuals using the internet,11
145,Western Asia,2010,Percentage of individuals using the internet,32.4
145,Western Asia,2015,Percentage of individuals using the internet,50
145,Western Asia,2019,Percentage of individuals using the internet,65.6
145,Western Asia,2020,Percentage of individuals using the internet,69.1
145,Western Asia,2021,Percentage of individuals using the internet,71.9
150,Europe,2005,Percentage of individuals using the internet,39.7
150,Europe,2010,Percentage of individuals using the internet,62.5
150,Europe,2015,Percentage of individuals using the internet,74.1
150,Europe,2019,Percentage of individuals using the internet,82.8
150,Europe,2020,Percentage of individuals using the internet,85.1
150,Europe,2021,Percentage of individuals using the internet,87.6
9,Oceania,2000,Percentage of individuals using the internet,33.6
9,Oceania,2005,Percentage of individuals using the internet,47.1
9,Oceania,2010,Percentage of individuals using the internet,56.9
9,Oceania,2015,Percentage of individuals using the internet,64.3
9,Oceania,2019,Percentage of individuals using the internet,74.3
9,Oceania,2020,Percentage of individuals using the internet,78.3
9,Oceania,2021,Percentage of individuals using the internet,79.7
53,Australia and New Zealand,2000,Percentage of individuals using the internet,46.8
53,Australia and New Zealand,2005,Percentage of individuals using the internet,63
53,Australia and New Zealand,2010,Percentage of individuals using the internet,76.7
53,Australia and New Zealand,2015,Percentage of individuals using the internet,84.7
53,Australia and New Zealand,2019,Percentage of individuals using the internet,93
53,Australia and New Zealand,2020,Percentage of individuals using the internet,95.8
53,Australia and New Zealand,2021,Percentage of individuals using the internet,96.2
57,Micronesia,2000,Percentage of individuals using the internet,3.7
57,Micronesia,2005,Percentage of individuals using the internet,11.9
57,Micronesia,2010,Percentage of individuals using the internet,20
57,Micronesia,2015,Percentage of individuals using the internet,31.5
57,Micronesia,2019,Percentage of individuals using the internet,39.9
57,Micronesia,2020,Percentage of individuals using the internet,40.1
57,Micronesia,2021,Percentage of individuals using the internet,40.4
4,Afghanistan,2005,Percentage of individuals using the internet,1.2
4,Afghanistan,2010,Percentage of individuals using the internet,4
4,Afghanistan,2015,Percentage of individuals using the internet,8.3
4,Afghanistan,2019,Percentage of individuals using the internet,17.6
4,Afghanistan,2020,Percentage of individuals using the internet,18.4
8,Albania,2000,Percentage of individuals using the internet,0.1
8,Albania,2005,Percentage of individuals using the internet,6
8,Albania,2010,Percentage of individuals using the internet,45
8,Albania,2015,Percentage of individuals using the internet,56.9
8,Albania,2019,Percentage of individuals using the internet,68.6
8,Albania,2020,Percentage of individuals using the internet,72.2
8,Albania,2021,Percentage of individuals using the internet,79.3
12,Algeria,2000,Percentage of individuals using the internet,0.5
12,Algeria,2005,Percentage of individuals using the internet,5.8
12,Algeria,2010,Percentage of individuals using the internet,12.5
12,Algeria,2015,Percentage of individuals using the internet,38.2
12,Algeria,2019,Percentage of individuals using the internet,59
12,Algeria,2020,Percentage of individuals using the internet,64
12,Algeria,2021,Percentage of individuals using the internet,70.8
20,Andorra,2000,Percentage of individuals using the internet,10.5
20,Andorra,2005,Percentage of individuals using the internet,37.6
20,Andorra,2010,Percentage of individuals using the internet,81
20,Andorra,2015,Percentage of individuals using the internet,87.9
20,Andorra,2019,Percentage of individuals using the internet,90.7
20,Andorra,2020,Percentage of individuals using the internet,93.2
20,Andorra,2021,Percentage of individuals using the internet,93.9
24,Angola,2000,Percentage of individuals using the internet,0.1
24,Angola,2005,Percentage of individuals using the internet,1.1
24,Angola,2010,Percentage of individuals using the internet,2.8
24,Angola,2015,Percentage of individuals using the internet,22
24,Angola,2019,Percentage of individuals using the internet,32.1
24,Angola,2020,Percentage of individuals using the internet,32.6
24,Angola,2021,Percentage of individuals using the internet,32.6
660,Anguilla,2000,Percentage of individuals using the internet,22.4
660,Anguilla,2005,Percentage of individuals using the internet,29
660,Anguilla,2010,Percentage of individuals using the internet,49.6
660,Anguilla,2015,Percentage of individuals using the internet,76
28,Antigua and Barbuda,2000,Percentage of individuals using the internet,6.5
28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27
28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47
28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70
28,Antigua and Barbuda,2019,Percentage of individuals using the internet,95.7
28,Antigua and Barbuda,2020,Percentage of individuals using the internet,95.7
28,Antigua and Barbuda,2021,Percentage of individuals using the internet,95.7
32,Argentina,2000,Percentage of individuals using the internet,7
32,Argentina,2005,Percentage of individuals using the internet,17.7
32,Argentina,2010,Percentage of individuals using the internet,45
32,Argentina,2015,Percentage of individuals using the internet,68
32,Argentina,2019,Percentage of individuals using the internet,79.9
32,Argentina,2020,Percentage of individuals using the internet,85.5
32,Argentina,2021,Percentage of individuals using the internet,87.2
51,Armenia,2000,Percentage of individuals using the internet,1.3
51,Armenia,2005,Percentage of individuals using the internet,5.3
51,Armenia,2010,Percentage of individuals using the internet,25
51,Armenia,2015,Percentage of individuals using the internet,59.1
51,Armenia,2019,Percentage of individuals using the internet,66.5
51,Armenia,2020,Percentage of individuals using the internet,76.5
51,Armenia,2021,Percentage of individuals using the internet,78.6
533,Aruba,2000,Percentage of individuals using the internet,15.4
533,Aruba,2005,Percentage of individuals using the internet,25.4
533,Aruba,2010,Percentage of individuals using the internet,62
533,Aruba,2015,Percentage of individuals using the internet,88.7
36,Australia,2000,Percentage of individuals using the internet,46.8
36,Australia,2005,Percentage of individuals using the internet,63
36,Australia,2010,Percentage of individuals using the internet,76
36,Australia,2015,Percentage of individuals using the internet,84.6
36,Australia,2019,Percentage of individuals using the internet,93.6
36,Australia,2020,Percentage of individuals using the internet,96.4
36,Australia,2021,Percentage of individuals using the internet,96.2
40,Austria,2000,Percentage of individuals using the internet,33.7
40,Austria,2005,Percentage of individuals using the internet,58
40,Austria,2010,Percentage of individuals using the internet,75.2
40,Austria,2015,Percentage of individuals using the internet,83.9
40,Austria,2019,Percentage of individuals using the internet,87.8
40,Austria,2020,Percentage of individuals using the internet,87.5
40,Austria,2021,Percentage of individuals using the internet,92.5
31,Azerbaijan,2000,Percentage of individuals using the internet,0.1
31,Azerbaijan,2005,Percentage of individuals using the internet,8
31,Azerbaijan,2010,Percentage of individuals using the internet,46
31,Azerbaijan,2015,Percentage of individuals using the internet,77
31,Azerbaijan,2019,Percentage of individuals using the internet,81.1
31,Azerbaijan,2020,Percentage of individuals using the internet,84.6
31,Azerbaijan,2021,Percentage of individuals using the internet,86
44,Bahamas,2000,Percentage of individuals using the internet,8
44,Bahamas,2005,Percentage of individuals using the internet,25
44,Bahamas,2010,Percentage of individuals using the internet,43
44,Bahamas,2015,Percentage of individuals using the internet,78
44,Bahamas,2019,Percentage of individuals using the internet,90.7
44,Bahamas,2020,Percentage of individuals using the internet,92.5
44,Bahamas,2021,Percentage of individuals using the internet,94.3
48,Bahrain,2000,Percentage of individuals using the internet,6.2
48,Bahrain,2005,Percentage of individuals using the internet,21.3
48,Bahrain,2010,Percentage of individuals using the internet,55
48,Bahrain,2015,Percentage of individuals using the internet,93.5
48,Bahrain,2019,Percentage of individuals using the internet,99.7
48,Bahrain,2020,Percentage of individuals using the internet,99.7
48,Bahrain,2021,Percentage of individuals using the internet,100
50,Bangladesh,2000,Percentage of individuals using the internet,0.1
50,Bangladesh,2005,Percentage of individuals using the internet,0.2
50,Bangladesh,2010,Percentage of individuals using the internet,3.7
50,Bangladesh,2015,Percentage of individuals using the internet,12.9
50,Bangladesh,2019,Percentage of individuals using the internet,27.8
50,Bangladesh,2020,Percentage of individuals using the internet,32.9
50,Bangladesh,2021,Percentage of individuals using the internet,38.9
52,Barbados,2000,Percentage of individuals using the internet,4
52,Barbados,2005,Percentage of individuals using the internet,52.5
52,Barbados,2010,Percentage of individuals using the internet,65.1
52,Barbados,2015,Percentage of individuals using the internet,76.1
52,Barbados,2019,Percentage of individuals using the internet,83.2
52,Barbados,2020,Percentage of individuals using the internet,82.5
52,Barbados,2021,Percentage of individuals using the internet,85.8
112,Belarus,2000,Percentage of individuals using the internet,1.9
112,Belarus,2010,Percentage of individuals using the internet,31.8
112,Belarus,2015,Percentage of individuals using the internet,62.2
112,Belarus,2019,Percentage of individuals using the internet,82.8
112,Belarus,2020,Percentage of individuals using the internet,85.1
112,Belarus,2021,Percentage of individuals using the internet,86.9
56,Belgium,2000,Percentage of individuals using the internet,29.4
56,Belgium,2005,Percentage of individuals using the internet,55.8
56,Belgium,2010,Percentage of individuals using the internet,75
56,Belgium,2015,Percentage of individuals using the internet,85.1
56,Belgium,2019,Percentage of individuals using the internet,90.3
56,Belgium,2020,Percentage of individuals using the internet,91.5
56,Belgium,2021,Percentage of individuals using the internet,92.8
84,Belize,2000,Percentage of individuals using the internet,6
84,Belize,2005,Percentage of individuals using the internet,17
84,Belize,2010,Percentage of individuals using the internet,28.2
84,Belize,2015,Percentage of individuals using the internet,41.6
84,Belize,2019,Percentage of individuals using the internet,57.1
84,Belize,2020,Percentage of individuals using the internet,59.5
84,Belize,2021,Percentage of individuals using the internet,62
204,Benin,2000,Percentage of individuals using the internet,0.2
204,Benin,2005,Percentage of individuals using the internet,1.3
204,Benin,2010,Percentage of individuals using the internet,3.1
204,Benin,2015,Percentage of individuals using the internet,11.3
204,Benin,2019,Percentage of individuals using the internet,22.4
204,Benin,2020,Percentage of individuals using the internet,28.2
204,Benin,2021,Percentage of individuals using the internet,34
60,Bermuda,2000,Percentage of individuals using the internet,42.9
60,Bermuda,2005,Percentage of individuals using the internet,65.4
60,Bermuda,2010,Percentage of individuals using the internet,84.2
60,Bermuda,2015,Percentage of individuals using the internet,98.3
64,Bhutan,2000,Percentage of individuals using the internet,0.4
64,Bhutan,2005,Percentage of individuals using the internet,3.8
64,Bhutan,2010,Percentage of individuals using the internet,13.6
64,Bhutan,2015,Percentage of individuals using the internet,39.8
64,Bhutan,2019,Percentage of individuals using the internet,74.2
64,Bhutan,2020,Percentage of individuals using the internet,79.9
64,Bhutan,2021,Percentage of individuals using the internet,85.6
68,Bolivia (Plurin. State of),2000,Percentage of individuals using the internet,1.4
68,Bolivia (Plurin. State of),2005,Percentage of individuals using the internet,5.2
68,Bolivia (Plurin. State of),2010,Percentage of individuals using the internet,22.4
68,Bolivia (Plurin. State of),2015,Percentage of individuals using the internet,37.5
68,Bolivia (Plurin. State of),2019,Percentage of individuals using the internet,47.5
68,Bolivia (Plurin. State of),2020,Percentage of individuals using the internet,59.9
68,Bolivia (Plurin. State of),2021,Percentage of individuals using the internet,66
70,Bosnia and Herzegovina,2000,Percentage of individuals using the internet,1.1
70,Bosnia and Herzegovina,2005,Percentage of individuals using the internet,21.3
70,Bosnia and Herzegovina,2010,Percentage of individuals using the internet,42.8
70,Bosnia and Herzegovina,2015,Percentage of individuals using the internet,52.6
70,Bosnia and Herzegovina,2019,Percentage of individuals using the internet,69.9
70,Bosnia and Herzegovina,2020,Percentage of individuals using the internet,73.2
70,Bosnia and Herzegovina,2021,Percentage of individuals using the internet,75.7
72,Botswana,2000,Percentage of individuals using the internet,2.9
72,Botswana,2005,Percentage of individuals using the internet,3.3
72,Botswana,2010,Percentage of individuals using the internet,6
72,Botswana,2015,Percentage of individuals using the internet,37.3
72,Botswana,2019,Percentage of individuals using the internet,64.8
72,Botswana,2020,Percentage of individuals using the internet,72.7
72,Botswana,2021,Percentage of individuals using the internet,73.5
76,Brazil,2000,Percentage of individuals using the internet,2.9
76,Brazil,2005,Percentage of individuals using the internet,21
76,Brazil,2010,Percentage of individuals using the internet,40.7
76,Brazil,2015,Percentage of individuals using the internet,58.3
76,Brazil,2019,Percentage of individuals using the internet,73.9
76,Brazil,2020,Percentage of individuals using the internet,81.3
76,Brazil,2021,Percentage of individuals using the internet,80.7
92,British Virgin Islands,2010,Percentage of individuals using the internet,37
96,Brunei Darussalam,2000,Percentage of individuals using the internet,9
96,Brunei Darussalam,2005,Percentage of individuals using the internet,36.5
96,Brunei Darussalam,2010,Percentage of individuals using the internet,53
96,Brunei Darussalam,2015,Percentage of individuals using the internet,71.2
96,Brunei Darussalam,2019,Percentage of individuals using the internet,95
96,Brunei Darussalam,2020,Percentage of individuals using the internet,96.1
96,Brunei Darussalam,2021,Percentage of individuals using the internet,98.1
100,Bulgaria,2000,Percentage of individuals using the internet,5.4
100,Bulgaria,2005,Percentage of individuals using the internet,20
100,Bulgaria,2010,Percentage of individuals using the internet,46.2
100,Bulgaria,2015,Percentage of individuals using the internet,56.7
100,Bulgaria,2019,Percentage of individuals using the internet,67.9
100,Bulgaria,2020,Percentage of individuals using the internet,70.2
100,Bulgaria,2021,Percentage of individuals using the internet,75.3
854,Burkina Faso,2000,Percentage of individuals using the internet,0.1
854,Burkina Faso,2005,Percentage of individuals using the internet,0.5
854,Burkina Faso,2010,Percentage of individuals using the internet,2.4
854,Burkina Faso,2015,Percentage of individuals using the internet,6.6
854,Burkina Faso,2019,Percentage of individuals using the internet,9.3
854,Burkina Faso,2020,Percentage of individuals using the internet,13.9
854,Burkina Faso,2021,Percentage of individuals using the internet,21.6
108,Burundi,2000,Percentage of individuals using the internet,0.1
108,Burundi,2005,Percentage of individuals using the internet,0.5
108,Burundi,2010,Percentage of individuals using the internet,1
108,Burundi,2015,Percentage of individuals using the internet,2
108,Burundi,2019,Percentage of individuals using the internet,2.7
108,Burundi,2020,Percentage of individuals using the internet,3.8
108,Burundi,2021,Percentage of individuals using the internet,5.8
132,Cabo Verde,2000,Percentage of individuals using the internet,1.8
132,Cabo Verde,2005,Percentage of individuals using the internet,6.1
132,Cabo Verde,2010,Percentage of individuals using the internet,30
132,Cabo Verde,2015,Percentage of individuals using the internet,42.7
132,Cabo Verde,2019,Percentage of individuals using the internet,61.9
132,Cabo Verde,2020,Percentage of individuals using the internet,63.2
132,Cabo Verde,2021,Percentage of individuals using the internet,69.8
116,Cambodia,2000,Percentage of individuals using the internet,0
116,Cambodia,2005,Percentage of individuals using the internet,0.3
116,Cambodia,2010,Percentage of individuals using the internet,1.3
116,Cambodia,2015,Percentage of individuals using the internet,18
116,Cambodia,2019,Percentage of individuals using the internet,52.3
116,Cambodia,2020,Percentage of individuals using the internet,53.7
116,Cambodia,2021,Percentage of individuals using the internet,60.2
120,Cameroon,2000,Percentage of individuals using the internet,0.3
120,Cameroon,2005,Percentage of individuals using the internet,1.4
120,Cameroon,2010,Percentage of individuals using the internet,4.3
120,Cameroon,2015,Percentage of individuals using the internet,18.3
120,Cameroon,2019,Percentage of individuals using the internet,36.5
120,Cameroon,2020,Percentage of individuals using the internet,45.5
120,Cameroon,2021,Percentage of individuals using the internet,45.6
124,Canada,2000,Percentage of individuals using the internet,51.3
124,Canada,2005,Percentage of individuals using the internet,71.7
124,Canada,2010,Percentage of individuals using the internet,80.3
124,Canada,2015,Percentage of individuals using the internet,90
124,Canada,2019,Percentage of individuals using the internet,91.9
124,Canada,2020,Percentage of individuals using the internet,92.3
124,Canada,2021,Percentage of individuals using the internet,92.8
136,Cayman Islands,2005,Percentage of individuals using the internet,38
136,Cayman Islands,2010,Percentage of individuals using the internet,66
136,Cayman Islands,2015,Percentage of individuals using the internet,77
140,Central African Republic,2000,Percentage of individuals using the internet,0.1
140,Central African Republic,2005,Percentage of individuals using the internet,0.3
140,Central African Republic,2010,Percentage of individuals using the internet,2
140,Central African Republic,2015,Percentage of individuals using the internet,2.9
140,Central African Republic,2019,Percentage of individuals using the internet,7.5
140,Central African Republic,2020,Percentage of individuals using the internet,8.6
140,Central African Republic,2021,Percentage of individuals using the internet,10.6
148,Chad,2000,Percentage of individuals using the internet,0
148,Chad,2005,Percentage of individuals using the internet,0.4
148,Chad,2010,Percentage of individuals using the internet,1.7
148,Chad,2015,Percentage of individuals using the internet,3.5
148,Chad,2019,Percentage of individuals using the internet,8.4
148,Chad,2020,Percentage of individuals using the internet,11.7
148,Chad,2021,Percentage of individuals using the internet,17.9
152,Chile,2000,Percentage of individuals using the internet,16.6
152,Chile,2005,Percentage of individuals using the internet,31.2
152,Chile,2010,Percentage of individuals using the internet,45
152,Chile,2015,Percentage of individuals using the internet,76.6
152,Chile,2019,Percentage of individuals using the internet,85
152,Chile,2020,Percentage of individuals using the internet,86.4
152,Chile,2021,Percentage of individuals using the internet,90.2
156,China,2000,Percentage of individuals using the internet,1.8
156,China,2005,Percentage of individuals using the internet,8.5
156,China,2010,Percentage of individuals using the internet,34.3
156,China,2015,Percentage of individuals using the internet,50.3
156,China,2019,Percentage of individuals using the internet,64.1
156,China,2020,Percentage of individuals using the internet,70.1
156,China,2021,Percentage of individuals using the internet,73.1
344,"China, Hong Kong SAR",2000,Percentage of individuals using the internet,27.8
344,"China, Hong Kong SAR",2005,Percentage of individuals using the internet,56.9
344,"China, Hong Kong SAR",2010,Percentage of individuals using the internet,72
344,"China, Hong Kong SAR",2015,Percentage of individuals using the internet,84.9
344,"China, Hong Kong SAR",2019,Percentage of individuals using the internet,91.7
344,"China, Hong Kong SAR",2020,Percentage of individuals using the internet,92.4
344,"China, Hong Kong SAR",2021,Percentage of individuals using the internet,93.1
446,"China, Macao SAR",2000,Percentage of individuals using the internet,13.6
446,"China, Macao SAR",2005,Percentage of individuals using the internet,34.9
446,"China, Macao SAR",2010,Percentage of individuals using the internet,55.2
446,"China, Macao SAR",2015,Percentage of individuals using the internet,77.6
446,"China, Macao SAR",2019,Percentage of individuals using the internet,86.5
446,"China, Macao SAR",2020,Percentage of individuals using the internet,88.3
446,"China, Macao SAR",2021,Percentage of individuals using the internet,88.5
170,Colombia,2000,Percentage of individuals using the internet,2.2
170,Colombia,2005,Percentage of individuals using the internet,11
170,Colombia,2010,Percentage of individuals using the internet,36.5
170,Colombia,2015,Percentage of individuals using the internet,55.9
170,Colombia,2019,Percentage of individuals using the internet,65
170,Colombia,2020,Percentage of individuals using the internet,70.9
170,Colombia,2021,Percentage of individuals using the internet,73
174,Comoros,2000,Percentage of individuals using the internet,0.3
174,Comoros,2005,Percentage of individuals using the internet,2
174,Comoros,2010,Percentage of individuals using the internet,5.1
174,Comoros,2015,Percentage of individuals using the internet,7.5
174,Comoros,2019,Percentage of individuals using the internet,16.4
174,Comoros,2020,Percentage of individuals using the internet,21.2
174,Comoros,2021,Percentage of individuals using the internet,27.3
178,Congo,2000,Percentage of individuals using the internet,0
178,Congo,2005,Percentage of individuals using the internet,1.5
178,Congo,2010,Percentage of individuals using the internet,5
178,Congo,2015,Percentage of individuals using the internet,7.6
184,Cook Islands,2000,Percentage of individuals using the internet,15.7
184,Cook Islands,2005,Percentage of individuals using the internet,26.2
184,Cook Islands,2010,Percentage of individuals using the internet,35.7
184,Cook Islands,2015,Percentage of individuals using the internet,51
188,Costa Rica,2000,Percentage of individuals using the internet,5.8
188,Costa Rica,2005,Percentage of individuals using the internet,22.1
188,Costa Rica,2010,Percentage of individuals using the internet,36.5
188,Costa Rica,2015,Percentage of individuals using the internet,59.8
188,Costa Rica,2019,Percentage of individuals using the internet,81.2
188,Costa Rica,2020,Percentage of individuals using the internet,80.5
188,Costa Rica,2021,Percentage of individuals using the internet,82.8
384,Côte d’Ivoire,2000,Percentage of individuals using the internet,0.2
384,Côte d’Ivoire,2005,Percentage of individuals using the internet,1
384,Côte d’Ivoire,2010,Percentage of individuals using the internet,2.7
384,Côte d’Ivoire,2015,Percentage of individuals using the internet,16.7
384,Côte d’Ivoire,2019,Percentage of individuals using the internet,36.3
384,Côte d’Ivoire,2020,Percentage of individuals using the internet,41.4
384,Côte d’Ivoire,2021,Percentage of individuals using the internet,45.4
191,Croatia,2000,Percentage of individuals using the internet,6.6
191,Croatia,2005,Percentage of individuals using the internet,33.1
191,Croatia,2010,Percentage of individuals using the internet,56.6
191,Croatia,2015,Percentage of individuals using the internet,69.8
191,Croatia,2019,Percentage of individuals using the internet,79.1
191,Croatia,2020,Percentage of individuals using the internet,78.3
191,Croatia,2021,Percentage of individuals using the internet,81.3
192,Cuba,2000,Percentage of individuals using the internet,0.5
192,Cuba,2005,Percentage of individuals using the internet,9.7
192,Cuba,2010,Percentage of individuals using the internet,15.9
192,Cuba,2015,Percentage of individuals using the internet,37.3
192,Cuba,2019,Percentage of individuals using the internet,68
192,Cuba,2020,Percentage of individuals using the internet,71.1
192,Cuba,2021,Percentage of individuals using the internet,71.1
196,Cyprus,2000,Percentage of individuals using the internet,15.3
196,Cyprus,2005,Percentage of individuals using the internet,32.8
196,Cyprus,2010,Percentage of individuals using the internet,53
196,Cyprus,2015,Percentage of individuals using the internet,71.7
196,Cyprus,2019,Percentage of individuals using the internet,86.1
196,Cyprus,2020,Percentage of individuals using the internet,90.8
196,Cyprus,2021,Percentage of individuals using the internet,90.8
203,Czechia,2000,Percentage of individuals using the internet,9.8
203,Czechia,2005,Percentage of individuals using the internet,35.3
203,Czechia,2010,Percentage of individuals using the internet,68.8
203,Czechia,2015,Percentage of individuals using the internet,75.7
203,Czechia,2019,Percentage of individuals using the internet,80.9
203,Czechia,2020,Percentage of individuals using the internet,81.3
203,Czechia,2021,Percentage of individuals using the internet,82.7
408,Dem. People's Rep. Korea,2000,Percentage of individuals using the internet,0
408,Dem. People's Rep. Korea,2005,Percentage of individuals using the internet,0
408,Dem. People's Rep. Korea,2010,Percentage of individuals using the internet,0
180,Dem. Rep. of the Congo,2000,Percentage of individuals using the internet,0
180,Dem. Rep. of the Congo,2005,Percentage of individuals using the internet,0.2
180,Dem. Rep. of the Congo,2010,Percentage of individuals using the internet,0.7
180,Dem. Rep. of the Congo,2015,Percentage of individuals using the internet,3.8
180,Dem. Rep. of the Congo,2019,Percentage of individuals using the internet,16.5
180,Dem. Rep. of the Congo,2020,Percentage of individuals using the internet,22.9
